order_id,customer_id,date,status
0,2952,2013-09-07,0
1,7991,2014-05-24,0
2,9581,2019-05-17,0
3,4212,2014-03-30,1
4,9388,2018-07-01,1
5,5692,2016-07-22,0
6,600,2012-08-31,0
7,7832,2018-08-04,0
8,9717,2015-07-19,0
9,6442,2017-05-21,1
10,25,2021-02-14,1
11,6481,2009-07-25,0
12,5214,2023-07-30,0
13,6624,2020-08-26,1
14,5534,2021-08-04,0
15,7399,2016-07-12,0
16,1565,2019-04-22,1
17,208,2009-08-18,1
18,2798,2017-03-05,0
19,7990,2010-06-10,0
20,4607,2017-01-26,0
21,1379,2020-09-03,1
22,3778,2019-09-27,1
23,1131,2014-02-08,0
24,9905,2013-09-17,0
25,906,2009-03-13,1
26,2121,2010-01-22,0
27,3382,2009-10-08,1
28,5856,2023-02-28,1
29,4044,2019-05-22,1
30,1370,2015-08-15,0
31,1991,2017-06-08,1
32,6684,2014-04-07,0
33,5655,2015-02-23,0
34,9424,2013-04-30,1
35,4136,2018-07-22,1
36,1726,2009-01-06,1
37,7543,2022-08-02,0
38,5676,2021-02-12,1
39,5375,2016-12-08,1
40,3414,2015-04-27,1
41,4675,2020-03-30,0
42,7724,2009-02-24,1
43,9123,2023-05-19,0
44,1669,2009-07-13,0
45,9408,2013-02-09,0
46,2291,2018-12-07,1
47,4376,2017-04-03,1
48,8298,2014-08-17,1
49,9170,2019-07-10,0
50,2555,2019-02-03,0
51,7967,2009-07-12,0
52,6647,2012-08-28,0
53,6553,2015-07-22,1
54,5094,2009-09-26,1
55,8444,2011-03-18,1
56,181,2009-03-27,0
57,8558,2018-07-04,0
58,2971,2015-08-20,1
59,9049,2016-04-24,0
60,6102,2013-07-06,0
61,9914,2009-03-31,0
62,1105,2015-02-22,0
63,9872,2015-04-02,0
64,409,2009-08-19,0
65,3623,2018-09-28,0
66,4065,2021-01-05,0
67,4893,2013-12-28,1
68,7963,2014-04-16,0
69,4194,2023-10-03,1
70,9514,2022-06-14,0
71,8786,2022-05-25,0
72,6507,2018-01-15,0
73,1160,2018-07-02,0
74,3529,2020-04-09,1
75,5528,2017-10-15,1
76,6466,2012-07-06,1
77,5275,2014-12-18,0
78,1303,2009-11-09,1
79,2130,2016-10-13,1
80,7565,2012-11-18,0
81,3671,2023-08-08,1
82,7652,2010-12-07,0
83,1007,2021-05-22,0
84,2193,2013-05-30,1
85,1724,2008-12-05,0
86,5834,2011-08-11,0
87,5805,2019-08-19,1
88,5187,2020-09-29,0
89,7153,2023-06-16,1
90,104,2013-05-22,0
91,2277,2017-08-20,0
92,3530,2023-04-02,1
93,2861,2011-09-23,0
94,2794,2010-12-23,1
95,4936,2020-12-19,1
96,7072,2009-01-26,1
97,1187,2012-03-07,1
98,4682,2017-02-18,0
99,9753,2017-01-23,0
100,4280,2016-03-30,1
101,211,2018-07-29,0
102,7600,2023-02-11,0
103,4,2016-10-13,0
104,5425,2008-12-01,1
105,8758,2011-03-02,0
106,7280,2014-06-10,0
107,586,2022-05-03,1
108,4694,2020-01-30,0
109,8929,2010-07-20,1
110,8995,2021-07-04,1
111,6331,2009-11-12,1
112,3842,2011-10-20,1
113,2738,2016-09-01,1
114,4967,2011-03-29,0
115,3999,2022-04-13,0
116,1296,2021-09-25,1
117,6589,2017-10-23,1
118,5993,2016-09-26,0
119,4068,2014-08-01,0
120,3319,2011-05-28,0
121,8049,2018-10-17,0
122,2999,2012-08-05,1
123,6216,2023-02-11,0
124,2675,2023-10-23,1
125,1267,2011-01-20,1
126,3918,2022-10-23,1
127,3519,2009-02-17,1
128,5223,2022-10-24,0
129,8963,2012-12-11,1
130,6516,2023-06-30,1
131,3071,2010-12-13,1
132,1833,2013-01-30,1
133,8412,2020-09-16,1
134,2612,2021-05-03,1
135,8736,2009-09-12,0
136,2471,2012-11-21,0
137,8731,2010-01-21,1
138,7170,2022-12-11,0
139,9175,2010-03-18,0
140,4369,2019-09-24,0
141,5016,2015-06-09,0
142,2715,2009-12-15,0
143,3223,2011-05-30,0
144,3153,2009-01-14,1
145,4978,2022-10-26,0
146,8518,2022-04-17,1
147,4788,2023-02-11,1
148,9927,2011-07-26,0
149,5318,2010-07-04,0
150,4550,2011-07-14,1
151,511,2013-12-24,1
152,701,2016-04-07,1
153,5440,2016-02-18,0
154,7501,2012-04-06,0
155,2377,2015-03-05,0
156,8998,2020-08-17,0
157,314,2013-08-16,0
158,3753,2019-05-24,0
159,4487,2020-09-19,1
160,8384,2010-05-24,1
161,2535,2014-03-29,1
162,8406,2022-01-19,1
163,7729,2017-02-10,1
164,9598,2014-11-09,0
165,4739,2014-11-17,1
166,4416,2022-07-11,1
167,7617,2016-10-08,0
168,9278,2013-08-05,0
169,9123,2020-03-30,1
170,2232,2023-11-18,1
171,3236,2010-12-20,0
172,2464,2009-11-13,0
173,1854,2021-02-17,0
174,4864,2013-09-23,0
175,5764,2015-02-09,0
176,3313,2013-11-25,0
177,9996,2017-08-27,1
178,5238,2017-05-28,1
179,5987,2020-04-24,0
180,3921,2009-03-03,0
181,4440,2023-06-17,0
182,5775,2020-08-09,1
183,4589,2014-02-28,1
184,6380,2011-04-05,1
185,3384,2020-01-08,0
186,5507,2023-03-11,1
187,9512,2017-09-18,0
188,3143,2015-03-01,0
189,3841,2023-06-03,0
190,7957,2009-12-01,0
191,5185,2017-11-22,0
192,5784,2018-05-20,0
193,5777,2013-06-23,1
194,644,2012-09-11,0
195,4904,2014-02-05,1
196,1321,2015-09-20,0
197,246,2020-06-11,0
198,4059,2016-04-16,1
199,8683,2014-09-28,0
200,1357,2023-02-19,0
201,9827,2009-08-13,1
202,8951,2019-10-30,1
203,9469,2020-01-24,0
204,5347,2010-03-27,1
205,3711,2010-01-21,0
206,7054,2010-07-29,1
207,4545,2021-10-30,0
208,7547,2009-10-13,1
209,8224,2016-05-25,0
210,3943,2021-03-30,0
211,41,2010-07-16,0
212,501,2010-03-23,0
213,4800,2020-01-03,1
214,4277,2019-05-20,1
215,879,2011-05-12,0
216,8034,2021-11-30,0
217,3583,2018-07-06,0
218,9094,2015-08-15,1
219,3003,2015-06-30,1
220,1851,2009-12-10,1
221,2691,2010-03-09,0
222,6350,2019-02-09,1
223,5455,2010-08-12,1
224,79,2011-03-02,0
225,5459,2019-11-17,0
226,3492,2014-02-23,1
227,9306,2010-09-09,0
228,5030,2016-06-07,0
229,639,2023-06-10,0
230,6893,2018-09-01,1
231,2188,2018-05-06,0
232,4735,2017-03-02,0
233,6159,2011-10-21,1
234,748,2010-11-11,0
235,3176,2013-07-28,0
236,5586,2018-01-24,0
237,3497,2009-11-22,0
238,8748,2015-09-24,1
239,593,2014-05-11,0
240,495,2011-09-23,0
241,7049,2021-08-14,1
242,5365,2020-05-22,0
243,9358,2014-01-10,1
244,1469,2011-06-03,0
245,3160,2023-08-22,1
246,3246,2018-06-09,1
247,1825,2017-01-13,1
248,8989,2019-08-25,1
249,3170,2015-11-16,1
250,7389,2021-04-01,0
251,3421,2019-11-04,1
252,4953,2021-12-21,0
253,3754,2019-03-17,1
254,44,2011-09-07,1
255,1757,2019-09-26,0
256,1809,2016-10-02,1
257,7727,2017-03-02,1
258,955,2014-12-01,0
259,7018,2021-01-23,0
260,8543,2009-04-23,1
261,3564,2014-11-29,0
262,8509,2009-11-19,1
263,8932,2019-05-05,1
264,9672,2019-03-06,0
265,9799,2011-11-23,1
266,8202,2020-03-02,0
267,6056,2022-01-15,1
268,166,2022-11-23,1
269,6500,2019-07-17,0
270,5427,2017-11-21,1
271,3863,2021-01-09,1
272,1883,2014-09-23,1
273,8849,2015-08-13,0
274,542,2009-05-22,1
275,1732,2011-01-20,0
276,9153,2018-08-25,1
277,94,2023-05-02,0
278,1772,2011-08-20,1
279,9792,2012-01-07,1
280,6268,2019-09-17,0
281,4775,2013-07-04,1
282,259,2010-12-03,0
283,2161,2011-12-01,0
284,4137,2020-09-22,1
285,9830,2023-05-13,0
286,3225,2019-04-18,0
287,8791,2011-07-30,0
288,3190,2015-01-02,0
289,5738,2013-12-17,1
290,1104,2021-05-13,0
291,2596,2018-05-16,0
292,2270,2013-09-22,1
293,1696,2016-04-24,0
294,6559,2018-09-02,1
295,60,2013-12-27,0
296,4350,2011-11-20,0
297,4534,2010-09-10,1
298,4211,2010-01-22,0
299,4844,2014-07-13,1
300,9082,2020-07-18,0
301,7726,2023-07-19,1
302,7502,2010-03-04,0
303,7040,2023-05-11,0
304,5585,2018-03-19,0
305,591,2011-01-08,0
306,8971,2012-03-08,1
307,9791,2020-06-22,0
308,2747,2011-04-05,1
309,5963,2016-12-02,1
310,145,2015-04-29,1
311,3717,2010-10-04,1
312,67,2020-09-10,0
313,1939,2018-11-06,1
314,4661,2017-04-16,1
315,9661,2015-03-31,0
316,7801,2022-11-12,0
317,297,2021-01-03,0
318,12,2022-12-17,0
319,487,2018-05-17,0
320,324,2016-01-17,0
321,5292,2019-10-29,1
322,5630,2021-07-14,1
323,8806,2011-08-20,1
324,9285,2019-08-28,0
325,6346,2016-11-13,0
326,9101,2009-10-23,0
327,2805,2022-09-16,0
328,6714,2022-01-04,1
329,7671,2009-07-16,1
330,5541,2013-07-01,1
331,3126,2009-11-15,1
332,8031,2023-07-24,1
333,5647,2022-10-20,0
334,3696,2011-05-14,0
335,5690,2014-03-08,1
336,5561,2019-06-29,1
337,911,2014-06-05,0
338,1758,2015-03-16,0
339,5776,2020-12-27,1
340,5212,2012-12-11,0
341,3640,2012-10-01,1
342,5450,2018-12-12,0
343,3723,2019-08-10,1
344,389,2010-08-20,0
345,4234,2013-01-24,1
346,6011,2015-08-26,0
347,2508,2021-01-13,0
348,4454,2018-07-22,1
349,1714,2014-03-17,1
350,7557,2016-08-02,0
351,2581,2016-09-12,1
352,1593,2022-05-08,1
353,7119,2015-04-28,1
354,8940,2009-09-27,1
355,939,2016-03-07,0
356,4739,2013-07-06,1
357,86,2016-03-06,1
358,4953,2013-06-17,1
359,7689,2012-05-31,1
360,3848,2011-11-30,0
361,9048,2021-12-27,1
362,7537,2022-09-29,0
363,9899,2010-11-20,0
364,1775,2022-12-03,1
365,8759,2013-10-17,0
366,1156,2021-03-01,0
367,3841,2022-08-21,1
368,2672,2013-06-09,1
369,4480,2022-02-28,1
370,6546,2016-05-25,1
371,9001,2019-04-01,0
372,6234,2020-08-06,0
373,2788,2010-05-22,1
374,3361,2010-05-25,0
375,5575,2014-12-15,0
376,4533,2021-02-24,1
377,8983,2017-06-21,0
378,6346,2011-04-22,0
379,2504,2018-04-16,1
380,3845,2019-09-05,0
381,180,2012-12-10,1
382,3293,2012-12-29,1
383,4701,2021-11-11,0
384,2772,2014-12-28,1
385,5691,2011-06-07,0
386,6721,2012-02-13,1
387,9485,2010-07-23,0
388,7570,2011-08-15,0
389,5651,2022-11-16,0
390,332,2010-02-23,1
391,1731,2013-10-08,1
392,243,2013-11-12,0
393,4783,2021-10-30,0
394,4028,2018-04-12,1
395,6554,2023-03-18,1
396,2813,2014-12-20,1
397,339,2016-07-22,0
398,6440,2018-10-18,1
399,3982,2017-11-15,0
400,1973,2020-06-07,1
401,3283,2023-06-24,0
402,8534,2018-11-04,1
403,3052,2010-08-14,0
404,6358,2020-03-06,0
405,5805,2014-05-25,1
406,7015,2023-11-23,0
407,2710,2011-07-27,1
408,8045,2013-10-12,0
409,7420,2013-12-26,1
410,2371,2016-08-14,1
411,2486,2023-01-31,0
412,9371,2017-11-23,1
413,4555,2013-10-31,1
414,9168,2016-01-09,0
415,5104,2015-01-07,0
416,9664,2010-04-02,1
417,3550,2010-03-22,1
418,474,2020-08-25,1
419,2279,2013-02-10,1
420,7587,2014-05-16,0
421,7874,2019-03-27,1
422,3989,2011-03-21,1
423,2871,2021-11-23,0
424,9306,2022-05-03,1
425,13,2019-07-28,0
426,6430,2013-09-02,0
427,8715,2023-08-15,1
428,416,2016-12-30,0
429,4474,2009-12-05,1
430,2154,2019-08-04,1
431,2733,2023-01-05,0
432,3280,2010-08-16,1
433,9318,2010-04-13,0
434,9890,2018-09-05,0
435,2647,2018-08-17,0
436,8032,2017-03-14,0
437,5518,2016-08-18,1
438,4414,2017-10-23,0
439,2974,2020-03-14,1
440,649,2016-11-14,0
441,1595,2021-04-30,1
442,8312,2017-11-24,0
443,7405,2015-08-01,0
444,9692,2014-02-11,1
445,7159,2014-06-30,1
446,5170,2016-08-24,0
447,1708,2018-07-17,0
448,5207,2018-02-15,1
449,2830,2019-11-03,0
450,675,2009-12-24,1
451,1744,2009-09-14,0
452,629,2010-12-30,1
453,5979,2017-11-29,1
454,6125,2016-06-02,1
455,3817,2018-06-16,0
456,2575,2009-01-14,1
457,2519,2019-03-13,1
458,7777,2017-01-17,1
459,4299,2009-01-29,0
460,6801,2012-01-23,1
461,5862,2022-09-17,0
462,1146,2013-02-02,0
463,930,2010-08-27,0
464,2093,2010-08-19,0
465,4795,2021-04-13,1
466,799,2023-08-18,1
467,5135,2011-01-05,1
468,5283,2012-04-07,0
469,4756,2021-04-03,0
